NAME	X	Y	cluster_cd8
TYPE	numeric	numeric	group
C03787	62.1669	35.0535	4
C03789	54.9943	10.7704	4
C03791	98.0536	19.0736	4
C03796	68.6367	23.1924	4
C03799	40.0547	15.6313	4
C03802	30.5355	13.2284	4
C03803	41.0769	13.5186	4
C03805	74.9585	17.3875	4
C03806	39.96	12.1676	4
C03810	39.4162	-90.6368	5
C03811	30.7298	32.2088	5
C03812	83.3565	-59.3942	6
C03814	57.9729	12.2914	4
C03816	60.7961	33.6686	4
C03817	48.1792	2.2645	4
C03818	34.5172	17.3624	4
C03819	43.151	3.3035	4
C03820	42.0718	19.7139	4
C03821	40.7892	17.1929	4
C03823	41.5585	16.8106	4
C03824	50.6971	-93.0196	5
C03827	73.4613	16.9368	4
C03829	65.5442	-4.0847	4
C03830	41.6803	14.3247	4
C03832	46.8037	17.0869	4
C03834	58.3759	40.843	4
C03840	31.2243	33.2089	5
C03841	35.5669	19.7407	4
C03843	32.3287	28.0928	4
C03844	62.9681	19.5385	4
C03845	42.0795	-92.5358	5
C03846	41.9853	-74.7474	5
C03849	43.437	16.9102	4
C03850	76.3911	21.477	4
C03852	80.9392	60.6864	4
C03853	97.9628	18.6465	4
C03855	73.9047	25.0642	4
C03857	31.8678	31.1714	4
C03859	22.3362	6.769	5
C03860	42.4987	15.6425	4
C03861	32.6284	24.8989	4
C03863	48.2473	2.7623	4
C03867	46.2395	-44.1511	4
C03868	48.2422	4.8979	4
C03869	75.6795	15.9868	4
C03871	74.0661	-6.3082	4
C03873	43.5136	-3.4472	4
C03874	30.0609	17.1447	4
C03875	43.0934	16.5211	4
C03876	70.6578	32.5756	4
C03877	37.3251	18.9586	4
C03878	6.8029	85.0682	5
C03879	51.9361	5.2115	4
C03881	43.4059	15.8776	4
C03882	39.9513	12.1437	4
C03883	43.9792	15.1668	4
C03885	40.1541	18.4829	4
C03886	37.3713	18.9527	4
C03887	32.6467	24.8639	4
C03889	80.6664	30.8274	4
C03890	79.368	28.9263	4
C03891	58.6585	49.1648	4
C03892	89.73	43.9578	4
C03893	89.7218	43.9623	4
C03896	81.9243	25.1206	4
C03897	81.9195	25.1181	4
C03898	56.3102	33.7775	4
C03899	76.1361	15.5865	4
C03900	79.0746	37.3519	4
C03901	79.0843	37.3422	4
C03903	62.4213	20.2241	4
C03904	40.875	24.9124	4
C03905	40.8568	24.9252	4
C03906	75.3263	29.2763	4
C03907	78.3941	16.3125	4
C03908	78.3899	16.3149	4
C03911	68.9046	41.6448	4
C03912	68.0679	1.4278	4
C03913	68.0656	1.4286	4
C03914	64.8814	36.2021	4
C03915	55.1833	36.4635	4
C03916	55.18	36.4713	4
C03917	65.7328	39.0805	4
C03918	66.841	35.431	4
C03919	66.8668	34.3569	4
C03920	66.8741	34.3861	4
C03921	21.5023	35.8803	4
C03923	56.4343	20.9554	4
C03924	75.9034	20.529	4
C03925	60.0263	10.3393	4
C03927	34.1393	11.3185	4
C03928	39.2407	33.5516	4
C03929	42.8002	32.1505	4
C03931	44.7611	33.2017	4
C03932	65.6416	38.1615	4
C03933	46.083	34.377	4
C03937	77.3201	9.7706	5
C03938	69.1365	33.8353	4
C03939	61.6834	37.098	4
C03940	59.0263	19.102	4
C03941	57.8248	34.5411	4
C03943	60.2325	19.6761	4
C03944	71.0587	15.4607	4
C03945	64.336	40.7622	4
C03947	50.8545	52.9083	4
C03948	53.7223	42.2905	4
C03949	66.5662	21.4374	4
C03950	21.4962	35.8818	4
C03952	59.1479	21.4348	4
C03953	19.723	95.4132	5
C03954	59.3924	30.2397	4
C03955	43.371	30.5758	4
C03956	46.6407	38.797	4
C03957	69.9123	34.6353	4
C03958	66.2222	65.4708	4
C03959	46.3921	33.6162	4
C03962	60.485	21.7427	4
C03964	74.0262	22.0101	4
C03967	38.4869	46.4021	4
C03968	62.8353	27.4247	4
C03969	76.8426	41.162	4
C03970	73.5314	37.4787	4
C03971	76.2475	38.9537	4
C03973	71.849	39.2766	4
C03974	51.6237	35.5552	4
C03975	67.6609	34.8315	4
C03976	33.8375	43.1094	4
C03977	50.8291	49.1204	4
C03978	57.1877	26.5672	4
C03979	62.8366	40.9279	4
C03980	43.3799	27.15	4
C03981	43.397	27.1424	4
C03982	79.1536	44.7293	4
C03983	69.9926	14.0718	4
C03987	43.6118	12.5135	4
C03988	76.7508	39.5407	4
C03989	77.4211	38.3755	4
C03990	71.1135	36.9955	4
C03991	71.1073	36.9815	4
C03992	38.3931	46.4687	4
C03993	38.378	46.4712	4
C03994	56.7787	34.2344	4
C03995	59.6583	35.8804	4
C03996	59.6872	35.9121	4
C03997	43.8649	33.5493	4
C03998	60.4673	39.4617	4
C03999	57.6948	21.2164	4
C04000	57.5242	31.5767	4
C04001	57.5805	31.6063	4
C04002	61.6662	40.9535	4
C04003	58.4332	39.0492	4
C04004	63.004	39.685	4
C04010	81.3366	44.1328	4
C04011	62.6252	45.3197	4
C04012	62.6275	45.323	4
C04013	57.318	31.2504	4
C04014	65.639	34.6881	4
C04015	52.5362	37.6116	4
C04017	56.4417	20.9645	4
C04021	39.3555	33.3365	4
C04024	55.157	46.971	4
C04025	55.8711	47.3853	4
C04026	56.4292	31.4373	4
C04027	63.7818	36.0226	4
C04030	61.7254	37.1285	4
C04032	60.193	19.664	4
C04033	69.3137	19.0964	4
C04034	64.1348	37.4019	4
C04035	64.1884	40.7572	4
C04036	81.7735	35.1335	4
C04037	81.1305	-59.1055	4
C04038	70.7237	40.237	4
C04039	53.7229	42.2902	4
C04040	21.4926	35.8821	4
C04041	82.0409	-57.8475	4
C04042	60.721	43.1034	4
C04043	59.1509	21.5159	4
C04044	64.9711	34.2718	4
C04045	46.6779	38.7772	4
C04046	43.5952	12.5371	4
C04047	85.811	47.2092	4
C04048	45.4678	22.8405	4
C04052	77.3677	33.1424	4
C04053	69.9988	41.5956	4
C04054	13.3903	37.6708	4
C04056	40.2965	28.229	4
C04057	74.0613	22.0003	4
C04058	80.3448	42.809	4
C04060	63.9431	26.5534	4
C04062	73.5485	37.4509	4
C04063	59.1603	34.8387	4
C04064	51.234	33.2344	4
